nps,pos_nps,pos_vermis,pos_rIns,pos_rV1,pos_rThal,pos_lIns,pos_rdpIns,pos_rS2,pos_dACC,neg_nps,neg_rLOC,neg_lLOC,neg_rpLOC,neg_pgACC,neg_lSTS,neg_rIPL,neg_PCC
-0.267454827,-0.287327726,-0.017062735,-0.028669965,0.391775039,-0.256999712,-0.320865877,0.108650255,-0.410288693,-0.605256572,0.270245801,0.367924438,0.279160204,0.444893442,-0.187117576,-0.012896603,-0.758547771,0.227021717
0.334057036,0.158163843,0.734666807,0.14202145,-0.020097603,0.773121523,0.38856965,-0.369811822,-0.247274895,0.124622093,0.492880242,0.153518399,0.454776602,0.388586756,0.587519741,0.311668553,0.219277749,-1.310587716
0.080517159,0.00633922,0.39320592,-0.156304481,0.262209923,0.0535423,-0.067066784,-0.127493672,-0.215864479,0.091407551,-0.030123044,-0.11625528,-0.188871261,0.188655469,0.280703024,-0.21620426,0.07975364,-0.116859
2.19654107,1.093693212,0.637279006,1.025513898,0.552497568,0.937628559,0.495274766,2.447184965,1.28900654,0.778057094,0.216756561,1.026366637,0.497919248,-0.221610387,0.65366318,-0.271062895,0.072611383,-0.432155632
0.391179417,0.333634175,0.207250861,0.156010933,0.229137217,0.206962871,0.229557049,0.109577552,0.166716045,0.548657326,-0.164900444,-0.235826768,-0.264565243,0.0460905,-0.012888142,0.200693329,-0.603615435,-0.200287286
0.645498066,0.736617603,0.412726797,0.58809808,0.307835026,0.559523643,0.408281933,0.529312815,0.728021122,0.797725965,-0.220059466,-0.174644543,0.196154,-0.181872972,-0.640519842,-0.087650736,-0.071687117,-0.158946212
0.07018175,0.247236107,-0.158729349,0.731556858,-0.106831298,-0.334866491,0.431234272,0.445482816,0.273676004,-0.221471646,-0.485506948,-0.170663079,-0.550203413,-0.090955619,-0.141085859,-0.65748992,-0.025050344,0.198447798
1.307740977,0.864907127,0.171430132,0.597371072,0.054760176,0.693226486,0.410122409,0.620218389,0.679480368,0.660029163,0.280368863,-0.395584138,0.072062471,0.221003659,0.423504934,0.383250686,0.488630672,-0.21655741
0.456189599,0.547798797,0.357365513,0.465092772,0.045632855,0.427328538,0.579039972,0.045532494,0.326883673,0.59985082,-0.551341551,-0.193251223,-0.528689019,-0.630934976,0.23313833,0.245465487,-1.044460365,-0.283884491
